"E001","2026-09-20","Electricity","Monthly electricity bill","15000"
"E002","2026-09-21","Medicine","Medicine purchase","25000"
"E003","2026-09-22","Equipment","Blood pressure monitors","12000"
"E004","2026-09-23","Salary","Staff salaries","50000"
"E005","2026-09-24","Utilities","Water bill","3000"
"E006","2026-09-25","Maintenance","Generator maintenance","8000"
"E007","2026-09-25","Maintenance","Equipment repair","5000"
"E008","2026-09-26","Food","Canteen supplies","15000"
"E009","2026-09-27","Equipment","Medical equipment purchase","3000"
"E010","2026-09-28","Lab Supplies","Lab reagents and consumables","25000"
"E011","2026-09-29","Food","Canteen supplies","2000"
"E012","2026-09-30","Maintenance","Equipment repair","50000"
"E013","2026-10-01","Transport","Ambulance fuel and transport","15000"
"E014","2026-10-02","Miscellaneous","Miscellaneous expense","2000"
"E015","2026-10-03","Salary","Staff salaries","12000"
"E016","2026-10-04","Miscellaneous","Miscellaneous expense","15000"
"E017","2026-10-05","Utilities","Utility bills","40000"
"E018","2026-10-06","Maintenance","Equipment repair","15000"
"E019","2026-10-07","Medicine","Medicine purchase","50000"
"E020","2026-10-08","Lab Supplies","Lab reagents and consumables","2000"
"E021","2026-10-09","Utilities","Utility bills","50000"
"E022","2026-10-10","Lab Supplies","Lab reagents and consumables","3000"
"E023","2026-10-11","Transport","Ambulance fuel and transport","8000"
"E024","2026-10-12","Equipment","Medical equipment purchase","2000"
"E025","2026-10-13","Medicine","Medicine purchase","3000"
"E026","2026-10-14","Salary","Staff salaries","8000"
"E027","2026-10-15","Utilities","Utility bills","3000"
"E028","2026-10-16","Medicine","Medicine purchase","15000"
"E029","2026-10-17","Maintenance","Equipment repair","5000"
"E030","2026-10-18","Utilities","Utility bills","25000"
"E031","2026-10-19","Food","Canteen supplies","15000"
"E032","2026-10-20","Electricity","Monthly electricity bill","12000"
"E033","2026-10-21","Equipment","Medical equipment purchase","5000"
"E034","2026-10-22","Medicine","Medicine purchase","40000"
"E035","2026-10-23","Utilities","Utility bills","25000"
"E036","2026-10-24","Transport","Ambulance fuel and transport","50000"
"E037","2026-09-25","Salary","Staff salaries","2000"
"E038","2026-09-26","Equipment","Medical equipment purchase","50000"
"E039","2026-09-27","Electricity","Monthly electricity bill","50000"
"E040","2026-09-28","Food","Canteen supplies","25000"
"E041","2026-09-29","Miscellaneous","Miscellaneous expense","50000"
"E042","2026-09-30","Maintenance","Equipment repair","2000"
"E043","2026-10-01","Equipment","Medical equipment purchase","8000"
"E044","2026-10-02","Food","Canteen supplies","15000"
"E045","2026-10-03","Maintenance","Equipment repair","2000"
"E046","2026-10-04","Utilities","Utility bills","15000"
"E047","2026-10-05","Miscellaneous","Miscellaneous expense","5000"
"E048","2026-10-06","Medicine","Medicine purchase","12000"
"E049","2026-10-07","Lab Supplies","Lab reagents and consumables","2000"
"E050","2026-10-08","Medicine","Medicine purchase","3000"
"E051","2026-10-09","Lab Supplies","Lab reagents and consumables","25000"
"E052","2026-10-10","Medicine","Medicine purchase","15000"
"E053","2026-10-11","Utilities","Utility bills","12000"
"E054","2026-10-12","Maintenance","Equipment repair","40000"
"E055","2026-10-13","Utilities","Utility bills","3000"
"E056","2026-10-14","Salary","Staff salaries","3000"
"E057","2026-10-15","Miscellaneous","Miscellaneous expense","5000"
"E058","2026-10-16","Electricity","Monthly electricity bill","12000"
"E059","2026-10-17","Lab Supplies","Lab reagents and consumables","8000"
"E060","2026-10-18","Electricity","Monthly electricity bill","8000"
"E061","2026-10-19","Salary","Staff salaries","8000"
"E062","2026-10-20","Utilities","Utility bills","3000"
"E063","2026-10-21","Equipment","Medical equipment purchase","8000"
"E064","2026-10-22","Utilities","Utility bills","50000"
"E065","2026-10-23","Salary","Staff salaries","40000"
"E066","2026-10-24","Equipment","Medical equipment purchase","8000"
"E067","2026-09-25","Maintenance","Equipment repair","3000"
"E068","2026-09-26","Transport","Ambulance fuel and transport","2000"
"E069","2026-09-27","Maintenance","Equipment repair","50000"
"E070","2026-09-28","Maintenance","Equipment repair","12000"
"E071","2026-09-29","Miscellaneous","Miscellaneous expense","15000"
"E072","2026-09-30","Food","Canteen supplies","25000"
"E073","2026-10-01","Lab Supplies","Lab reagents and consumables","3000"
